Activity Id,Students Sets,Subject,Teachers,Room,SKS
129,IT-03-02,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3
130,IT-03-03,23758 - ITA2213 - INTERAKSI MANUSIA DAN KOMPUTER,FRH,KELAS,3
131,TE-01-01,23340 - TEA40B3 - REKAYASA RADIO,FSA,KELAS,3
132,TE-01-02,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,FSA,KELAS,2
133,TE-02-01,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1
134,TE-02-01,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3
135,TE-02-02,23247 - TEA3211 - PRAKTIKUM ANTENA DAN PROPAGASI,FSA,LAB,1
136,TE-02-02,23244 - TEA3213 - ANTENA DAN PROPAGASI,FSA,KELAS,3
137,TE-03-01,23210 - FEA2223 - ELEKTROMAGNETIKA,FSA,KELAS,3
138,SE-02-01,23727 - SEA30D3 - PEMROGRAMAN GAME,FWP,LAB,3
139,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3
140,SE-02-01,23704 - SEA3264 - PROSES DAN IMPLEMENTASI PERANGKAT LUNAK,FWP,KELAS,3
141,SE-02-01,23723 - SEA3023 - SISTEM INFORMASI GEOGRAFIS,FWP,LAB,3
142,IT-02-01,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3
143,IT-02-02,23769 - ITA3213 - PEMROGRAMAN MOBILE,FZN,KELAS,3
144,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3
145,IT-04-01,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3
146,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,KELAS,3
147,IT-04-02,23749 - SCA1024 - FISIKA DASAR  B,FZN,LAB,3
148,CE-02-01,23279 - CEA30A3 - MANAJEMEN LOGISTIK,GRA,KELAS,3
149,EE-02-01,23417 - EEA40F3 - MANAJEMEN LOGISTIK,GRA,KELAS,3
150,IE-02-02,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,GRA,KELAS,3
151,TE-01-01,23349 - TEA40H3 - NEW GENERATION NETWORKS,HAM,KELAS,3
152,TE-01-01,23337 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,HAM,KELAS,2
153,TE-02-01,23252 - TEA3221 - PRAKTIKUM ELEKTRONIKA TELEKOMUNIKASI,HAM,LAB,1
154,TE-02-01,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3
155,TE-02-02,23316 - TEA3233 - SISTEM KOMUNIKASI SELULER,HAM,KELAS,3
156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
158,DS-01-01,23878 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
159,IE-04-01,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
160,IE-04-02,23439 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
161,IF-01-01,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
162,IF-01-02,23920 - FIB1022 - KEWARGANEGARAAN,HAR,KELAS,2
163,IT-04-01,23747 - HUA1023 - PANCASILA DAN KEWARGANEGARAAN,HAR,KELAS,3
164,IT-01-01,23775 - FIA4022 - METODE PENELITIAN DAN PENGEMBANGAN,HEL,KELAS,2
165,IT-04-01,23748 - MAA1023 - MATEMATIKA DISKRIT,HEL,KELAS,3
166,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2
167,DS-01-01,23880 - DSB1224 - DATA WRANGLING,HMM,KELAS,2
168,IT-02-01,23770 - ITA3273 - PEMBELAJARAN MESIN,HMM,KELAS,3
169,IT-02-01,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3
170,IT-02-02,23854 - ITA40A3 - PENGOLAHAN CITRA DIGITAL,HMM,KELAS,3
171,DS-01-01,23875 - DSB1213 - KALKULUS 2,HNF,KELAS,3
172,IS-04-01,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3
173,IS-04-02,23795 - MAA1033 - TEORI PROBABILITAS,HNF,KELAS,3
174,SE-04-01,23682 - MAA1223 - KALKULUS 2B,HNF,KELAS,3
175,EE-04-01,23300 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
176,TE-04-01,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
177,TE-04-02,23187 - LAA1032 - BAHASA INDONESIA,HRM,KELAS,2
178,IS-03-01,23814 - ISA2253 - MANAJEMEN RANTAI PASOK,HWM,KELAS,3
179,IS-04-03,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3
180,IS-04-04,23801 - ISA1213 - SISTEM ENTERPRISE,HWM,KELAS,3
181,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2
182,EE-03-01,23329 - FEA2214 - ELEKTRONIKA,IFA,KELAS,2
183,EE-02-01,23294 - EEA3213 - SISTEM TENAGA ELEKTRIK,ISA,KELAS,3
